[JobA-LONGLIU-MAIN] Loaded T_target=4201.09ms from /tmp/ttarget_v5_jobA.json (preset_target=True)
[MultiComm] Loading library from /home/why/LongLiu_rebuild/current/multi_comm_slo/build/libmulti_comm.so
[MultiComm] Rank 0: active priorities = 0 1 2 3 4 5 6 (7 total)
[MultiComm] Rank 0: initializing 7 priorities across 1 devices
[MultiComm] Rank 0: waiting for TCP connections on port 29520...
[MultiComm] Rank 0: sent 7 IDs to rank 1
[MultiComm] Rank 0: created communicator for priority P0 (DSCP=40, ToS=160)
[MultiComm] Rank 0: created communicator for priority P1 (DSCP=32, ToS=128)
[MultiComm] Rank 0: created communicator for priority P2 (DSCP=24, ToS=96)
[MultiComm] Rank 0: created communicator for priority P3 (DSCP=16, ToS=64)
[MultiComm] Rank 0: created communicator for priority P4 (DSCP=0, ToS=0)
[MultiComm] Rank 0: created communicator for priority P5 (DSCP=16, ToS=64)
[MultiComm] Rank 0: created communicator for priority P6 (DSCP=8, ToS=32)
[MultiComm] Rank 0: initialization complete, starting at P6 (DSCP=8)
[MultiComm] Initialized: rank=0, world_size=2, master=192.10.10.110:29520, priority=P3
[JobA-LONGLIU-MAIN] scheduler=v1(pi), queue=SP, payload=1024MB (fixed), reverse_epoch=7 (c_i swap), num_iters=300
[JobA-LONGLIU-MAIN] Phase 1 (epoch 0-6): c_i=1.2
[JobA-LONGLIU-MAIN] Phase 2 (epoch 7-14): c_i=3.0
[JobA-LONGLIU-MAIN] GPU 0: Quadro RTX 4000, free=7.5 GB
[JobA-LONGLIU-MAIN] Warmup done.
[MultiComm] Rank 0: switching priority P6 -> P3 (DSCP 8 -> 16)
[JobA-LONGLIU-MAIN] iter   0 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=391.9ms, bw=10.96 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   1 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=296.3ms, bw=14.49 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   2 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=238.8ms, bw=17.99 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   3 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=281.8ms, bw=15.24 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   4 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=276.7ms, bw=15.52 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   5 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=255.8ms, bw=16.79 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   6 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=249.0ms, bw=17.25 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   7 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=256.9ms, bw=16.72 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   8 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=221.0ms, bw=19.43 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter   9 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=249.3ms, bw=17.23 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  10 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=216.0ms, bw=19.88 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  11 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=229.8ms, bw=18.69 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  12 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=271.1ms, bw=15.84 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  13 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=248.7ms, bw=17.27 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  14 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=263.5ms, bw=16.30 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  15 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=270.2ms, bw=15.89 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  16 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=284.6ms, bw=15.09 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  17 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=219.3ms, bw=19.58 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  18 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=272.0ms, bw=15.79 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  19 (epoch 0): payload=1024MB, c_i=1.2, sleep=30000us, comm=284.3ms, bw=15.11 Gbps [phase1]
[SLO] T_target PRESET (calibrated): 4201.1ms (c_i=1.2, SLO target=5041.3ms) — EMA updates SKIPPED
[SLO] Epoch 1: π=+0.047 (A=5.28s, expected=5.04s, T_target=4201.1ms, k=1), Priority P3 -> P4 (DSCP 16 -> 0)
[MultiComm] Rank 0: switching priority P3 -> P4 (DSCP 16 -> 0)
[JobA-LONGLIU-MAIN] iter  20 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=462.7ms, bw=9.28 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  21 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=185.6ms, bw=23.14 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  22 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=210.4ms, bw=20.42 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  23 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=197.2ms, bw=21.78 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  24 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=187.2ms, bw=22.95 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  25 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=200.9ms, bw=21.38 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  26 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=185.1ms, bw=23.21 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  27 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=193.7ms, bw=22.17 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  28 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=190.3ms, bw=22.57 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  29 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=211.3ms, bw=20.33 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  30 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=179.8ms, bw=23.89 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  31 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=178.0ms, bw=24.13 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  32 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=183.3ms, bw=23.43 Gbps [phase1]
[JobA-LONGLIU-MAIN] iter  33 (epoch 1): payload=1024MB, c_i=1.2, sleep=30000us, comm=178.0ms, bw=24.13 Gbps [phase1]
